kafka1  | 2026-09-25T22:29:53.444041442Z ===> User
kafka1  | 2026-09-25T22:29:53.447167396Z uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka1  | 2026-09-25T22:29:53.447619025Z ===> Configuring ...
kafka1  | 2026-09-25T22:29:53.453640564Z Running in KRaft mode...
kafka1  | 2026-09-25T22:29:57.206365376Z ===> Running preflight checks ... 
kafka1  | 2026-09-25T22:29:57.209473300Z ===> Check if /var/lib/kafka/data is writable ...
kafka1  | 2026-09-25T22:29:57.772227192Z ===> Running in KRaft mode, skipping Zookeeper health check...
kafka1  | 2026-09-25T22:29:57.772270740Z ===> Using provided cluster id MkU3OEVBNTcwNTJENDM2Qk ...
kafka1  | 2026-09-25T22:29:59.556415501Z ===> Launching ... 
kafka1  | 2026-09-25T22:29:59.572304220Z ===> Launching kafka ... 
kafka1  | 2026-09-25T22:30:00.152610511Z [2026-09-25 22:30:00,152] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka1  | 2026-09-25T22:30:00.430357775Z [2026-09-25 22:30:00,429] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
kafka1  | 2026-09-25T22:30:00.662353126Z [2026-09-25 22:30:00,662] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka1  | 2026-09-25T22:30:00.668067147Z [2026-09-25 22:30:00,667] INFO [ControllerServer id=1] Starting controller (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.116878445Z [2026-09-25 22:30:01,116] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka1  | 2026-09-25T22:30:01.148882015Z [2026-09-25 22:30:01,148] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka1  | 2026-09-25T22:30:01.157492821Z [2026-09-25 22:30:01,157] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka1  | 2026-09-25T22:30:01.158427970Z [2026-09-25 22:30:01,158] INFO [SharedServer id=1] Starting SharedServer (kafka.server.SharedServer)
kafka1  | 2026-09-25T22:30:01.231378480Z [2026-09-25 22:30:01,230] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Loading producer state till offset 0 with message format version 2 (kafka.log.UnifiedLog$)
kafka1  | 2026-09-25T22:30:01.232360429Z [2026-09-25 22:30:01,232] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Reloading from producer snapshot and rebuilding producer state from offset 0 (kafka.log.UnifiedLog$)
kafka2  | 2026-09-25T22:29:52.970424679Z ===> User
kafka2  | 2026-09-25T22:29:52.974815767Z uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
kafka2  | 2026-09-25T22:29:52.975479683Z ===> Configuring ...
kafka2  | 2026-09-25T22:29:52.980930299Z Running in KRaft mode...
kafka2  | 2026-09-25T22:29:57.054467639Z ===> Running preflight checks ... 
kafka2  | 2026-09-25T22:29:57.058237421Z ===> Check if /var/lib/kafka/data is writable ...
kafka2  | 2026-09-25T22:29:57.572391470Z ===> Running in KRaft mode, skipping Zookeeper health check...
kafka2  | 2026-09-25T22:29:57.572423376Z ===> Using provided cluster id MkU3OEVBNTcwNTJENDM2Qk ...
kafka2  | 2026-09-25T22:29:59.552878987Z ===> Launching ... 
kafka2  | 2026-09-25T22:29:59.572308847Z ===> Launching kafka ... 
kafka2  | 2026-09-25T22:30:00.120876023Z [2026-09-25 22:30:00,120] INFO Registered kafka:type=kafka.Log4jController MBean (kafka.utils.Log4jControllerRegistration$)
kafka2  | 2026-09-25T22:30:00.386102429Z [2026-09-25 22:30:00,385] INFO Setting -D jdk.tls.rejectClientInitiatedRenegotiation=true to disable client-initiated TLS renegotiation (org.apache.zookeeper.common.X509Util)
kafka2  | 2026-09-25T22:30:00.638349172Z [2026-09-25 22:30:00,638] INFO Registered signal handlers for TERM, INT, HUP (org.apache.kafka.common.utils.LoggingSignalHandler)
kafka2  | 2026-09-25T22:30:00.644638550Z [2026-09-25 22:30:00,643] INFO [ControllerServer id=2] Starting controller (kafka.server.ControllerServer)
kafka2  | 2026-09-25T22:30:01.104249819Z [2026-09-25 22:30:01,103] INFO Updated connection-accept-rate max connection creation rate to 2147483647 (kafka.network.ConnectionQuotas)
kafka2  | 2026-09-25T22:30:01.143437423Z [2026-09-25 22:30:01,143] INFO [SocketServer listenerType=CONTROLLER, nodeId=2] Created data-plane acceptor and processors for endpoint : ListenerName(CONTROLLER) (kafka.network.SocketServer)
kafka2  | 2026-09-25T22:30:01.152969368Z [2026-09-25 22:30:01,152] INFO authorizerStart completed for endpoint CONTROLLER. Endpoint is now READY. (org.apache.kafka.server.network.EndpointReadyFutures)
kafka2  | 2026-09-25T22:30:01.153334900Z [2026-09-25 22:30:01,153] INFO [SharedServer id=2] Starting SharedServer (kafka.server.SharedServer)
kafka2  | 2026-09-25T22:30:01.226239330Z [2026-09-25 22:30:01,225] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Loading producer state till offset 0 with message format version 2 (kafka.log.UnifiedLog$)
kafka2  | 2026-09-25T22:30:01.227386274Z [2026-09-25 22:30:01,227] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Reloading from producer snapshot and rebuilding producer state from offset 0 (kafka.log.UnifiedLog$)
kafka2  | 2026-09-25T22:30:01.227500683Z [2026-09-25 22:30:01,227] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (kafka.log.UnifiedLog$)
kafka3  | 2026-09-25T22:29:53.188407680Z ===> User
kafka1  | 2026-09-25T22:30:01.232431391Z [2026-09-25 22:30:01,232] INFO [LogLoader partition=__cluster_metadata-0, dir=/var/lib/kafka/data] Producer state recovery took 0ms for snapshot load and 0ms for segment recovery from offset 0 (kafka.log.UnifiedLog$)
kafka1  | 2026-09-25T22:30:01.273909098Z [2026-09-25 22:30:01,273] INFO Initialized snapshots with IDs SortedSet() from /var/lib/kafka/data/__cluster_metadata-0 (kafka.raft.KafkaMetadataLog$)
kafka1  | 2026-09-25T22:30:01.289813401Z [2026-09-25 22:30:01,289] INFO [raft-expiration-reaper]: Starting (kafka.raft.TimingWheelExpirationService$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:01.460165890Z [2026-09-25 22:30:01,459] INFO [RaftManager id=1] Completed transition to Unattached(epoch=0, voters=[1, 2, 3], electionTimeoutMs=1628) from null (org.apache.kafka.raft.QuorumState)
kafka1  | 2026-09-25T22:30:01.463467721Z [2026-09-25 22:30:01,463] INFO [kafka-1-raft-outbound-request-thread]: Starting (org.apache.kafka.raft.KafkaNetworkChannel$SendThread)
kafka1  | 2026-09-25T22:30:01.463509925Z [2026-09-25 22:30:01,463] INFO [kafka-1-raft-io-thread]: Starting (kafka.raft.KafkaRaftManager$RaftIoThread)
kafka1  | 2026-09-25T22:30:01.485174804Z [2026-09-25 22:30:01,484] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:01.487164133Z [2026-09-25 22:30:01,486] INFO [RaftManager id=1] Registered the listener org.apache.kafka.image.loader.MetadataLoader@293625805 (org.apache.kafka.raft.KafkaRaftClient)
kafka1  | 2026-09-25T22:30:01.487197692Z [2026-09-25 22:30:01,486] INFO [ControllerServer id=1] Waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.487458341Z [2026-09-25 22:30:01,487] INFO [ControllerServer id=1] Finished waiting for controller quorum voters future (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.536163200Z [2026-09-25 22:30:01,535] INFO [QuorumController id=1] Creating new QuorumController with clusterId MkU3OEVBNTcwNTJENDM2Qk. (org.apache.kafka.controller.QuorumController)
kafka1  | 2026-09-25T22:30:01.536810835Z [2026-09-25 22:30:01,536] INFO [RaftManager id=1] Registered the listener org.apache.kafka.controller.QuorumController$QuorumMetaLogListener@695369572 (org.apache.kafka.raft.KafkaRaftClient)
kafka1  | 2026-09-25T22:30:01.549119233Z [2026-09-25 22:30:01,548] INFO [controller-1-ThrottledChannelReaper-Fetch]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.549942798Z [2026-09-25 22:30:01,549] INFO [controller-1-ThrottledChannelReaper-Produce]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.551964806Z [2026-09-25 22:30:01,551] INFO [controller-1-ThrottledChannelReaper-Request]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.555471056Z [2026-09-25 22:30:01,555] INFO [controller-1-ThrottledChannelReaper-ControllerMutation]: Starting (kafka.server.ClientQuotaManager$ThrottledChannelReaper)
kafka1  | 2026-09-25T22:30:01.586833796Z [2026-09-25 22:30:01,585] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:01.591876055Z [2026-09-25 22:30:01,591] INFO [ExpirationReaper-1-AlterAcls]: Starting (kafka.server.DelayedOperationPurgatory$ExpiredOperationReaper)
kafka1  | 2026-09-25T22:30:01.621309217Z [2026-09-25 22:30:01,620] INFO [ControllerServer id=1] Waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.622219907Z [2026-09-25 22:30:01,621] INFO [MetadataLoader id=1] initializeNewPublishers: the loader is still catching up because we still don't know the high water mark yet. (org.apache.kafka.image.loader.MetadataLoader)
kafka1  | 2026-09-25T22:30:01.622458669Z [2026-09-25 22:30:01,622] INFO [ControllerServer id=1] Finished waiting for the controller metadata publishers to be installed (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.624197972Z [2026-09-25 22:30:01,623] INFO [SocketServer listenerType=CONTROLLER, nodeId=1] Enabling request processing. (kafka.network.SocketServer)
kafka1  | 2026-09-25T22:30:01.634196716Z [2026-09-25 22:30:01,632] INFO Awaiting socket connections on kafka1:9093. (kafka.network.DataPlaneAcceptor)
kafka1  | 2026-09-25T22:30:01.661381274Z [2026-09-25 22:30:01,660] INFO [controller-1-to-controller-registration-channel-manager]: Starting (kafka.server.NodeToControllerRequestThread)
kafka1  | 2026-09-25T22:30:01.661683023Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661700666Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Finished waiting for all of the authorizer futures to be completed (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661703541Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661853588Z [2026-09-25 22:30:01,661] INFO [ControllerServer id=1] Finished waiting for all of the SocketServer Acceptors to be started (kafka.server.ControllerServer)
kafka1  | 2026-09-25T22:30:01.661870351Z [2026-09-25 22:30:01,661] INFO [ControllerRegistrationManager id=1 incarnation=R-C9ZIcqSpWYzRo0srjYKg] initialized channel manager. (kafka.server.ControllerRegistrationManager)
