consumer-1  | 2026-09-25T20:45:35.199918977Z [REBALANÇO] consumer-1288ef06410d recebeu as partições [2, 3]
consumer-1  | 2026-09-25T20:46:12.547918153Z [REBALANÇO] consumer-1288ef06410d perdeu as partições [2, 3]
consumer-1  | 2026-09-25T20:46:20.253850709Z [REBALANÇO] consumer-1288ef06410d recebeu as partições [4]
consumer-1  | 2026-09-25T20:46:38.274355196Z [REBALANÇO] consumer-1288ef06410d perdeu as partições [4]
consumer-1  | 2026-09-25T20:46:38.301635925Z [REBALANÇO] consumer-1288ef06410d recebeu as partições [2, 3]
consumer-3  | 2026-09-25T20:45:32.174194338Z [REBALANÇO] consumer-2de4c5a895b7 recebeu as partições [0, 1, 2, 3, 4, 5]
consumer-3  | 2026-09-25T20:45:35.179287374Z [REBALANÇO] consumer-2de4c5a895b7 perdeu as partições [0, 1, 2, 3, 4, 5]
consumer-3  | 2026-09-25T20:45:35.199811650Z [REBALANÇO] consumer-2de4c5a895b7 recebeu as partições [0, 1]
consumer-3  | 2026-09-25T20:46:14.227803192Z [REBALANÇO] consumer-2de4c5a895b7 perdeu as partições [0, 1]
consumer-3  | 2026-09-25T20:46:14.235851571Z [REBALANÇO] consumer-2de4c5a895b7 recebeu as partições [0, 1, 2]
consumer-3  | 2026-09-25T20:46:20.237914205Z [REBALANÇO] consumer-2de4c5a895b7 perdeu as partições [0, 1, 2]
consumer-3  | 2026-09-25T20:46:20.253850552Z [REBALANÇO] consumer-2de4c5a895b7 recebeu as partições [2, 3]
consumer-3  | 2026-09-25T20:46:38.274594881Z [REBALANÇO] consumer-2de4c5a895b7 perdeu as partições [2, 3]
consumer-3  | 2026-09-25T20:46:38.301627448Z [REBALANÇO] consumer-2de4c5a895b7 recebeu as partições [0, 1]
consumer-2  | 2026-09-25T20:45:35.199923838Z [REBALANÇO] consumer-ded81c663e51 recebeu as partições [4, 5]
consumer-2  | 2026-09-25T20:46:14.227948872Z [REBALANÇO] consumer-ded81c663e51 perdeu as partições [4, 5]
consumer-2  | 2026-09-25T20:46:14.235842017Z [REBALANÇO] consumer-ded81c663e51 recebeu as partições [3, 4, 5]
consumer-2  | 2026-09-25T20:46:20.240860953Z [REBALANÇO] consumer-ded81c663e51 perdeu as partições [3, 4, 5]
consumer-2  | 2026-09-25T20:46:20.253842026Z [REBALANÇO] consumer-ded81c663e51 recebeu as partições [5]
consumer-2  | 2026-09-25T20:46:38.270612088Z [REBALANÇO] consumer-ded81c663e51 perdeu as partições [5]
consumer-2  | 2026-09-25T20:46:38.301923930Z [REBALANÇO] consumer-ded81c663e51 recebeu as partições [4, 5]
